,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
9897,"
            
        Azure & AWS Solution Architect
      
          ","
            NuStar Technologies
          ","
            Thiruvananthapuram, Kerala, India
          ","
         Be an early applicant
      ",2023-03-21,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Information Technology & Services
          ",,137047.0,2801.0,326.0,12.0
9898,Sr./Staff Backend Software Engineer,PARASOL,"San Francisco, CA",Be an early applicant,2023-03-01,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Media",39840.0,60858.0,3884.0,,13.0
9899,Copy Writer - Bangalore,CIEL HR,"Bangalore Urban, Karnataka, India",Actively Hiring,2022-11-22,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Human Resources Services,154252.0,202953.0,1239.0,357.0,9.0
9900,Lead Data Scientist,Axion Ray,"San Francisco, CA",Be an early applicant,2023-02-25,Mid-Senior level,Engineering and Information Technology,Full-time,Software Development,162262.0,196288.0,3991.0,481.0,14.0
9901,Writer (UK),NerdWallet,"Norwich, England, United Kingdom",Actively Hiring,2023-04-04,Associate,Writing/Editing,Full-time,Consumer Services,90781.0,126325.0,3727.0,258.0,2.0
9902,Data Scientist - Blockchain Intelligence,CryptoRecruit,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-20,Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting,175812.0,205792.0,4703.0,164.0,7.0
9903,"
            
        2024 Graduate Software Engineer – Scoresby
      
          ","
            Leidos Australia
          ","
            Melbourne, Victoria, Australia
          ",Be an early applicant,2023-03-22,"
            Mid-Senior level
          ","
            Information Technology and Engineering
          ","
          Contract
        ","
          IT Services and IT Consulting and Government Administration
          ",117950.0,127934.0,994.0,151.0,12.0
9904,Embedded AutoSAR Engineer (MI or IN),Aptiv,"Carmel, IN",Actively Hiring,2023-03-29,Mid-Senior level,Engineering,Full-time,Motor Vehicle Manufacturing,,,241.0,225.0,2.0
9905,React Native Developer,Exo Digital | UX Design + Innovation,"Melbourne, Victoria, Australia",Actively Hiring,2023-04-11,Entry level,Engineering and Information Technology,Full-time,International Trade and Development,177926.0,217651.0,1383.0,324.0,4.0
9906,Content Writer,kevin.,"Amsterdam, North Holland, Netherlands",Actively Hiring,2023-02-22,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Financial Services,186851.0,193654.0,4850.0,465.0,
9907,Junior Software Engineer,Applied Intuition,"Mountain View, CA",Actively Hiring,2023-04-02,Entry level,Information Technology,Full-time,"Technology, Information and Internet",125801.0,166528.0,2267.0,88.0,4.0
9908,?????????(AI?IoT?)~PMP????100???/????????~,,"Tokyo, Tokyo, Japan",Be an early applicant,2023-03-30,Not Applicable,Information Technology,Full-time,IT Services and IT Consulting,133032.0,158436.0,,7.0,10.0
9909,Content Writer,PeopleDecode,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-15,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Information Technology & Services,34595.0,48783.0,702.0,334.0,12.0
9910,Senior UI/UX Developer,Stability,"Los Angeles, CA",Be an early applicant,2023-04-12,Entry level,Engineering and Information Technology,Full-time,Software Development,107244.0,138016.0,1099.0,478.0,7.0
9911,Full Stack Developer,Madras Mandi,"Bengaluru North, Karnataka, India",Be an early applicant,2023-02-04,Mid-Senior level,Engineering and Information Technology,Full-time,Internet Publishing,47691.0,82794.0,1631.0,432.0,
9912,"
            
        Site Engineer
      
          ","
            Growthbuilt
          ","
            Baulkham Hills, New South Wales, Australia
          ","
         Be an early applicant
      ",2023-03-28,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Construction
          ",77767.0,96487.0,4463.0,182.0,
9913,Social Media Manager,Huel,"South Bank, England, United Kingdom",Actively Hiring,2023-03-28,Not Applicable,Marketing and Sales,Other,Food & Beverages,120878.0,170315.0,2712.0,433.0,4.0
9914,Freelance Junior Graphic Designer,Steel City,"Pittsburgh, PA",Actively Hiring,2023-04-27,Mid-Senior level,"Design, Art/Creative, and Information Technology",Full-time,"IT Services and IT Consulting, Software Development, and Human Resources Services",135507.0,141912.0,4252.0,393.0,
9915,Lead .NET Developer / Manager in Austin ($140-160K),Austin Fraser,"Austin, Texas Metropolitan Area","Actively Hiring
           +4�benefits",2023-03-26,Mid-Senior level,Information Technology,Full-time,Computer Hardware Manufacturing and Software Development,105488.0,121243.0,4517.0,332.0,4.0
9916,"
            
        AWS Architect
      
          ","
            Diverse Lynx
          ","
            Detroit, MI
          ","
         Be an early applicant
      ",2023-03-01,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Software Development
          ",63868.0,111494.0,805.0,226.0,1.0
9917,Senior Data Scientist,icare NSW,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-27,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",189346.0,197427.0,2614.0,105.0,
9918,Ethereum/Blockchain Engineer,Automatski,"Bengaluru North, Karnataka, India",Be an early applicant,2023-02-05,Mid-Senior level,Information Technology and Engineering,Full-time,"Technology, Information and Internet",191336.0,215759.0,,315.0,
9919,"
            
        Executive Assistant
      
          ","
            Acin
          ","
            Farnborough, England, United Kingdom
          ","
         Be an early applicant
      ",2023-02-16,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",75401.0,,4090.0,424.0,1.0
9920,Medical Content Writer,Acme Services,"Mumbai, Maharashtra, India",Actively Hiring,2023-02-16,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",164138.0,178049.0,772.0,239.0,12.0
9921,Firmware Engineer,Actalent,"Houston, TX",Be an early applicant,2023-04-17,Entry level,Engineering and Information Technology,Full-time,Business Consulting and Services,30071.0,75850.0,2257.0,277.0,5.0
9922,Social Media Manager,Huel,"South Bank, England, United Kingdom",Actively Hiring,2023-03-28,Director,Marketing and Sales,Full-time,Utilities,115498.0,140064.0,1638.0,145.0,4.0
9923,Rust Engineer,Albert Bow,"Berlin, Germany",Actively Hiring,2023-04-14,Associate,Information Technology,Full-time,Financial Services,47239.0,86906.0,772.0,452.0,
9924,Native Application Developer,Paramount Australia & New Zealand,"Pyrmont, New South Wales, Australia",Be an early applicant,2023-04-03,Entry level,Engineering and Information Technology,Full-time,International Trade and Development,50367.0,82638.0,912.0,270.0,11.0
9925,"
            
        Senior Manager - Branding & Marketing
      
          ","
            Internshala
          ","
            Gurgaon, Haryana, India
          ","
         Be an early applicant
      ",2023-02-13,"
            Not Applicable
          ","
            Marketing and Sales
          ","
          Full-time
        ","
          Personal Care Product Manufacturing and Manufacturing
          ",34306.0,60282.0,1744.0,,3.0
9926,DevOps Developer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-09,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,28221.0,39879.0,3952.0,194.0,4.0
9927,HR Generalist,Novares Group,"Janesville, WI",Be an early applicant,2023-04-11,Mid-Senior level,Human Resources,Full-time,Motor Vehicle Manufacturing,146273.0,157386.0,1513.0,119.0,0.0
9928,"
            
        Executive Assistant
      
          ","
            Jobrack
          ","
            Albania
          ","
         Be an early applicant
      ",2023-03-16,"
          Full-time
        ",,,,,181791.0,539.0,347.0,14.0
9929,"
            
        Data Analyst - Python
      
          ","
            Alchemy Techsol
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-16,"
            Entry level
          ","
            Information Technology
          ","
          Full-time
        ",,108105.0,118668.0,2446.0,,8.0
9930,"
            
        Data Scientist
      
          ","
            Harrington Starr
          ","
            Greenwich, CT
          ","
         Actively Hiring
      ",2023-03-15,,"
            Engineering and Information Technology
          ","
          Full-time
        ","
          Human Resources Services
          ",,219713.0,1098.0,463.0,11.0
9931,Senior Data Scientist,Recruiting from Scratch,"California, United States",Be an early applicant,2023-02-28,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,30756.0,38479.0,248.0,59.0,11.0
9932,"
            
        AWS Architect
      
          ","
            Diverse Lynx
          ","
            Columbus, OH
          ","
         Be an early applicant
      ",2023-03-01,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Software Development
          ",,171734.0,42.0,421.0,3.0
9933,?????????????????,,"Hyogo, Japan",Be an early applicant,2023-04-11,Not Applicable,Engineering,Full-time,Human Resources Services,192612.0,,1413.0,274.0,2.0
9934,Real Estate Administrative Assistant,WizeHire,"Indianapolis, IN",Be an early applicant,2023-03-08,Full-time,,,,106424.0,149139.0,4340.0,222.0,2.0
9935,"
            
        Executive Assistant
      
          ","
            Hertility
          ","
            London Area, United Kingdom
          ",Be an early applicant,2023-02-21,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",,112125.0,4384.0,,4.0
9936,Full - Stack Developer,The Learner Company,"Bengaluru, Karnataka, India",Be an early applicant,2023-04-20,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",72520.0,79696.0,4650.0,112.0,
9937,Full Stack Developer - MERN STACK,TrustCheckr,"Bengaluru North, Karnataka, India",Be an early applicant,2022-11-23,Associate,Engineering and Information Technology,Full-time,IT Services and IT Consulting,184408.0,227109.0,4202.0,42.0,1.0
9938,"
            
        Assistant General Counsel I- Legal
      
          ","
            State of Oklahoma
          ","
            Warr Acres, OK
          ","
         Be an early applicant
      ",2023-03-25,"
            Mid-Senior level
          ","
            Legal
          ","
          Full-time
        ","
          Government Administration
          ",30221.0,48976.0,1451.0,327.0,13.0
9939,Creative Copywriter,Become Recruitment UK,"Leeds, England, United Kingdom",Actively Hiring,2023-04-21,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Staffing and Recruiting,177954.0,189608.0,1211.0,21.0,0.0
